编码,日期,促销比率
1001,20150101,0
1001,20150102,0.000
1001,20150103,0.000
1001,20150104,0.000
1001,20150105,0.000
1001,20150106,0.000
1001,20150107,0.000
1001,20150108,0.000
1001,20150109,0.000
1001,20150110,0.000
1001,20150111,0.000
1001,20150112,0.000
1001,20150113,0.000
1001,20150114,0.000
1001,20150115,0.000
1001,20150116,0.000
1001,20150117,0.000
1001,20150118,0.000
1001,20150119,0.000
1001,20150120,0.000
1001,20150121,0.000
1001,20150122,0.000
1001,20150123,0.000
1001,20150124,0.000
1001,20150125,0.000
1001,20150126,0.000
1001,20150127,0.000
1001,20150128,0.000
1001,20150129,0.000
1001,20150130,0.000
1001,20150131,0.000
1001,20150201,0.000
1001,20150202,0.000
1001,20150203,0.000
1001,20150204,0
1001,20150205,0.000
1001,20150206,0.000
1001,20150207,0.000
1001,20150208,0.000
1001,20150209,0.000
1001,20150210,0.000
1001,20150211,0.000
1001,20150212,0.000
1001,20150213,0.000
1001,20150214,0
1001,20150215,0.000
1001,20150216,0.000
1001,20150217,0.000
1001,20150218,0.000
1001,20150219,0.000
1001,20150220,0
1001,20150221,0.000
1001,20150222,0.000
1001,20150223,0.000
1001,20150224,0.000
1001,20150225,0
1001,20150226,0.000
1001,20150227,0.000
1001,20150228,0.000
1001,20150301,0.000
1001,20150302,0.000
1001,20150303,0.000
1001,20150304,0.000
1001,20150305,0.000
1001,20150306,0.000
1001,20150307,0.000
1001,20150308,0.000
1001,20150309,0.000
1001,20150310,0.000
1001,20150311,0.000
1001,20150312,0.000
1001,20150313,0.000
1001,20150314,0.000
1001,20150315,0.000
1001,20150316,0.000
1001,20150317,0.000
1001,20150318,0.000
1001,20150319,0.000
1001,20150320,0.000
1001,20150321,0.000
1001,20150322,0.000
1001,20150323,0.000
1001,20150324,0.000
1001,20150325,0.000
1001,20150326,0.000
1001,20150327,0.000
1001,20150328,0.000
1001,20150329,0.000
1001,20150330,0.000
1001,20150331,0
1001,20150401,0.000
1001,20150402,0.000
1001,20150403,0.000
1001,20150404,0.000
1001,20150405,0.000
1001,20150406,0.000
1001,20150407,0.000
1001,20150408,0.000
1001,20150409,0
1001,20150410,0.000
1001,20150411,0.000
1001,20150412,0.000
1001,20150413,0.000
1001,20150414,0.000
1001,20150415,0.000
1001,20150416,0
1001,20150417,0.000
1001,20150418,0.000
1001,20150419,0.000
1001,20150420,0.000
1001,20150421,0.000
1001,20150422,0.000
1001,20150423,0.000
1001,20150424,0.000
1001,20150425,0.000
1001,20150426,0.000
1001,20150427,0.000
1001,20150428,0.000
1001,20150429,0.000
1001,20150430,0.000
1002,20150101,0
1002,20150102,0
1002,20150103,0
1002,20150104,0
1002,20150105,0.000
1002,20150106,0
1002,20150107,0.000
1002,20150108,0.000
1002,20150109,0
1002,20150110,0
1002,20150111,0
1002,20150112,0
1002,20150113,0
1002,20150114,0
1002,20150115,0
1002,20150116,0
1002,20150117,0
1002,20150118,0
1002,20150119,0
1002,20150120,0
1002,20150121,0
1002,20150122,0
1002,20150123,0.000
1002,20150124,0
1002,20150125,0.000
1002,20150126,0
1002,20150127,0
1002,20150128,0
1002,20150129,0
1002,20150130,0
1002,20150131,0.000
1002,20150201,0.000
1002,20150202,0
1002,20150203,0
1002,20150204,0
1002,20150205,0
1002,20150206,0.000
1002,20150207,0
1002,20150208,0
1002,20150209,0
1002,20150210,0.000
1002,20150211,0.000
1002,20150212,0
1002,20150213,0.000
1002,20150214,0
1002,20150215,0.000
1002,20150216,0.000
1002,20150217,0
1002,20150218,0
1002,20150219,0
1002,20150220,0
1002,20150221,0
1002,20150222,0.000
1002,20150223,0
1002,20150224,0
1002,20150225,0
1002,20150226,0
1002,20150227,0
1002,20150228,0
1002,20150301,0
1002,20150302,0
1002,20150303,0
1002,20150304,0
1002,20150305,0
1002,20150306,0
1002,20150307,0
1002,20150308,0
1002,20150309,0
1002,20150310,0
1002,20150311,0.000
1002,20150312,0
1002,20150313,0
1002,20150314,0
1002,20150315,0
1002,20150316,0
1002,20150317,0
1002,20150318,0
1002,20150319,0
1002,20150320,0
1002,20150321,0
1002,20150322,0
1002,20150323,0
1002,20150324,0
1002,20150325,0.000
1002,20150326,0
1002,20150327,0
1002,20150328,0
1002,20150329,0
1002,20150330,0.000
1002,20150331,0
1002,20150401,0.000
1002,20150402,0
1002,20150403,0
1002,20150404,0
1002,20150405,0.000
1002,20150406,0
1002,20150407,0
1002,20150408,0
1002,20150409,0
1002,20150410,0
1002,20150411,0
1002,20150412,0.000
1002,20150413,0
1002,20150414,0
1002,20150415,0
1002,20150416,0
1002,20150417,0
1002,20150418,0
1002,20150419,0
1002,20150420,0
1002,20150421,0.000
1002,20150422,0.000
1002,20150423,0
1002,20150424,0.000
1002,20150425,0.000
1002,20150426,0.000
1002,20150427,0
1002,20150428,0
1002,20150429,0
1002,20150430,0
1004,20150101,0.000
1004,20150102,0.000
1004,20150103,0.000
1004,20150104,0.000
1004,20150105,0.000
1004,20150106,0.000
1004,20150107,0.000
1004,20150108,0.000
1004,20150109,0.000
1004,20150110,0
1004,20150111,0.000
1004,20150112,0.000
1004,20150113,0
1004,20150114,0.000
1004,20150115,0.000
1004,20150116,0.000
1004,20150117,0.000
1004,20150118,0
1004,20150119,0.000
1004,20150120,0.000
1004,20150121,0.000
1004,20150122,0.000
1004,20150123,0
1004,20150124,0
1004,20150125,0.000
1004,20150126,0
1004,20150127,0.000
1004,20150128,0.000
1004,20150129,0.000
1004,20150130,0.000
1004,20150131,0.000
1004,20150201,0
1004,20150202,0.000
1004,20150203,0.000
1004,20150204,0.000
1004,20150205,0.000
1004,20150206,0
1004,20150207,0
1004,20150208,0.000
1004,20150209,0
1004,20150210,0.000
1004,20150211,0.000
1004,20150212,0.000
1004,20150213,0.000
1004,20150214,0
1004,20150215,0.000
1004,20150216,0.000
1004,20150217,0.000
1004,20150218,0.000
1004,20150219,0
1004,20150220,0
1004,20150221,0
1004,20150222,0.000
1004,20150223,0.000
1004,20150224,0
1004,20150225,0
1004,20150226,0
1004,20150227,0.000
1004,20150228,0
1004,20150301,0
1004,20150302,0.000
1004,20150303,0.000
1004,20150304,0.000
1004,20150305,0.000
1004,20150306,0.000
1004,20150307,0.000
1004,20150308,0.000
1004,20150309,0.000
1004,20150310,0.000
1004,20150311,0.000
1004,20150312,0.000
1004,20150313,0.000
1004,20150314,0.000
1004,20150315,0.000
1004,20150316,0.000
1004,20150317,0
1004,20150318,0.000
1004,20150319,0
1004,20150320,0
1004,20150321,0.000
1004,20150322,0.000
1004,20150323,0
1004,20150324,0.000
1004,20150325,0
1004,20150326,0.000
1004,20150327,0.000
1004,20150328,0.000
1004,20150329,0.000
1004,20150330,0.000
1004,20150331,0
1004,20150401,0.000
1004,20150402,0.000
1004,20150403,0
1004,20150404,0.000
1004,20150405,0
1004,20150406,0.000
1004,20150407,0.000
1004,20150408,0.000
1004,20150409,0
1004,20150410,0.000
1004,20150411,0
1004,20150412,0.000
1004,20150413,0
1004,20150414,0.000
1004,20150415,0.000
1004,20150416,0
1004,20150417,0.000
1004,20150418,0.000
1004,20150419,0.000
1004,20150420,0.000
1004,20150421,0.000
1004,20150422,0.000
1004,20150423,0.000
1004,20150424,0.000
1004,20150425,0.000
1004,20150426,0.000
1004,20150427,0.000
1004,20150428,0
1004,20150429,0.000
1004,20150430,0.000
1005,20150101,0
1005,20150102,0
1005,20150103,0
1005,20150104,0
1005,20150105,0.000
1005,20150106,0.000
1005,20150107,0.000
1005,20150108,0
1005,20150109,0
1005,20150110,0
1005,20150111,0.000
1005,20150112,0
1005,20150113,0
1005,20150114,0
1005,20150115,0
1005,20150116,0
1005,20150117,0
1005,20150118,0.000
1005,20150119,0
1005,20150120,0
1005,20150121,0
1005,20150122,0.000
1005,20150123,0.000
1005,20150124,0
1005,20150125,0
1005,20150126,0
1005,20150127,0
1005,20150128,0.000
1005,20150129,0
1005,20150130,0.000
1005,20150131,0
1005,20150201,0.000
1005,20150202,0
1005,20150203,0
1005,20150204,0
1005,20150205,0
1005,20150206,0
1005,20150207,0
1005,20150208,0
1005,20150209,0
1005,20150210,0
1005,20150211,0
1005,20150212,0
1005,20150213,0
1005,20150214,0
1005,20150215,0
1005,20150216,0
1005,20150217,0
1005,20150218,0
1005,20150219,0
1005,20150220,0
1005,20150221,0
1005,20150222,0
1005,20150223,0
1005,20150224,0
1005,20150225,0
1005,20150226,0
1005,20150227,0
1005,20150228,0
1005,20150301,0.000
1005,20150302,0
1005,20150303,0
1005,20150304,0
1005,20150305,0
1005,20150306,0
1005,20150307,0
1005,20150308,0
1005,20150309,0
1005,20150310,0
1005,20150311,0
