编码,日期,销量
1505,20150501,15
1505,20150502,14
1505,20150503,17
1505,20150504,16
1505,20150505,17
1505,20150506,16
1505,20150507,17
1505,20150508,17
1505,20150509,17
1505,20150510,17
1505,20150511,17
1505,20150512,18
1505,20150513,18
1505,20150514,18
1505,20150515,18
1505,20150516,18
1505,20150517,18
1505,20150518,19
1505,20150519,19
1505,20150520,19
1505,20150521,19
1505,20150522,19
1505,20150523,19
1505,20150524,20
1505,20150525,20
1505,20150526,20
1505,20150527,20
1505,20150528,20
1505,20150529,20
1505,20150530,21
