编码,日期,销量
1001,20150101,3
1001,20150102,6
1001,20150103,7
1001,20150104,5
1001,20150105,9
1001,20150106,5
1001,20150107,28
1001,20150108,7
1001,20150109,4
1001,20150110,4
1001,20150111,3
1001,20150112,12
1001,20150113,5
1001,20150114,16
1001,20150115,9
1001,20150116,9
1001,20150117,3
1001,20150118,5
1001,20150119,4
1001,20150120,9
1001,20150121,25
1001,20150122,6
1001,20150123,7
1001,20150124,2
1001,20150125,5
1001,20150126,13
1001,20150127,12
1001,20150128,35
1001,20150129,9
1001,20150130,4
1001,20150131,6
1001,20150201,5
1001,20150202,5
1001,20150203,9
1001,20150204,0
1001,20150205,10
1001,20150206,4
1001,20150207,1
1001,20150208,10
1001,20150209,8
1001,20150210,14
1001,20150211,25
1001,20150212,6
1001,20150213,6
1001,20150214,0
1001,20150215,15
1001,20150216,9
1001,20150217,16
1001,20150218,9
1001,20150219,1
1001,20150220,0
1001,20150221,2
1001,20150222,4
1001,20150223,2
1001,20150224,1
1001,20150225,0
1001,20150226,2
1001,20150227,3
1001,20150228,4
1001,20150301,8
1001,20150302,9
1001,20150303,8
1001,20150304,12
1001,20150305,9
1001,20150306,3
1001,20150307,5
1001,20150308,5
1001,20150309,13
1001,20150310,5
1001,20150311,10
1001,20150312,5
1001,20150313,6
1001,20150314,10
1001,20150315,9
1001,20150316,6
1001,20150317,11
1001,20150318,20
1001,20150319,5
1001,20150320,3
1001,20150321,1
1001,20150322,4
1001,20150323,2
1001,20150324,6
1001,20150325,22
1001,20150326,7
1001,20150327,3
1001,20150328,3
1001,20150329,5
1001,20150330,6
1001,20150331,0
1001,20150401,17
1001,20150402,10
1001,20150403,5
1001,20150404,9
1001,20150405,7
1001,20150406,7
1001,20150407,10
1001,20150408,13
1001,20150409,0
1001,20150410,8
1001,20150411,9
1001,20150412,16
1001,20150413,6
1001,20150414,4
1001,20150415,20
1001,20150416,0
1001,20150417,8
1001,20150418,4
1001,20150419,6
1001,20150420,6
1001,20150421,7
1001,20150422,20
1001,20150423,6
1001,20150424,13
1001,20150425,4
1001,20150426,8
1001,20150427,3
1001,20150428,10
1001,20150429,14
1001,20150430,11
1002,20150101,0
1002,20150102,0
1002,20150103,0
1002,20150104,0
1002,20150105,1
1002,20150106,0
1002,20150107,1
1002,20150108,1
1002,20150109,0
1002,20150110,0
1002,20150111,0
1002,20150112,0
1002,20150113,0
1002,20150114,0
1002,20150115,0
1002,20150116,0
1002,20150117,0
1002,20150118,0
1002,20150119,0
1002,20150120,0
1002,20150121,0
1002,20150122,0
1002,20150123,1
1002,20150124,0
1002,20150125,1
1002,20150126,0
1002,20150127,0
1002,20150128,0
1002,20150129,0
1002,20150130,0
1002,20150131,1
1002,20150201,2
1002,20150202,0
1002,20150203,0
1002,20150204,0
1002,20150205,0
1002,20150206,1
1002,20150207,0
1002,20150208,0
1002,20150209,0
1002,20150210,2
1002,20150211,2
1002,20150212,0
1002,20150213,2
1002,20150214,0
1002,20150215,1
1002,20150216,2
1002,20150217,0
1002,20150218,0
1002,20150219,0
1002,20150220,0
1002,20150221,0
1002,20150222,1
1002,20150223,0
1002,20150224,0
1002,20150225,0
1002,20150226,0
1002,20150227,0
1002,20150228,0
1002,20150301,0
1002,20150302,0
1002,20150303,0
1002,20150304,0
1002,20150305,0
1002,20150306,0
1002,20150307,0
1002,20150308,0
1002,20150309,0
1002,20150310,0
1002,20150311,1
1002,20150312,0
1002,20150313,0
1002,20150314,0
1002,20150315,0
1002,20150316,0
1002,20150317,0
1002,20150318,0
1002,20150319,0
1002,20150320,0
1002,20150321,0
1002,20150322,0
1002,20150323,0
1002,20150324,0
1002,20150325,1
1002,20150326,0
1002,20150327,0
1002,20150328,0
1002,20150329,0
1002,20150330,1
1002,20150331,0
1002,20150401,2
1002,20150402,0
1002,20150403,0
1002,20150404,0
1002,20150405,2
1002,20150406,0
1002,20150407,0
1002,20150408,0
1002,20150409,0
1002,20150410,0
1002,20150411,0
1002,20150412,1
1002,20150413,0
1002,20150414,0
1002,20150415,0
1002,20150416,0
1002,20150417,0
1002,20150418,0
1002,20150419,0
