id,custid,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
12301,95,20,粮油,2013,调味酱,201302,辣酱,20150201,201502,DW-2013020073,200g,一般商品,瓶,1,5.9,5.9,否
12302,106,13,熟食,1308,现制中式面点,130803,现制烙类,20150201,201502,DW-1308030035,个,生鲜,个,4,4,1,否
12303,174,20,粮油,2011,液体调料,201102,生抽酱油,20150201,201502,DW-2011020021,500ml,一般商品,瓶,1,6.9,7.9,否
12304,410,20,粮油,2009,盐/糖,200905,红糖,20150201,201502,DW-2009050008,400g,一般商品,袋,1,5.6,5.7,否
12305,410,22,休闲,2205,炒货,220513,香瓜子,20150201,201502,DW-2205130089,散装,一般商品,KG,0.312,4.3,13.8,否
12306,1135,12,蔬果,1201,蔬菜,120104,花果,20150201,201502,DW-1201040035,散称,生鲜,千克,0.308,4,9.6,否
12307,1728,20,粮油,2009,盐/糖,200902,功能盐,20150201,201502,DW-2009020012,400g,一般商品,袋,1,2.3,2.3,否
12308,2062,15,日配,1521,蛋类,152101,新鲜蛋品,20150201,201502,DW-1521010043,散称,一般商品,千克,0.294,3.82,8.5,否
12309,2228,15,日配,1512,冷冻汤圆,151206,无馅汤圆,20150201,201502,DW-1512060001,250g,一般商品,袋,1,5,4.9,否
12310,2308,22,休闲,2209,巧克力,220904,牛奶巧克力,20150201,201502,DW-2209040042,82g,一般商品,袋,1,12.5,16.5,是
12311,2391,12,蔬果,1203,水果,120307,蕉类,20150201,201502,DW-1203070022,散称,生鲜,KG,0.724,3.3,5.96,否
12312,2449,12,蔬果,1201,蔬菜,120103,芽菜,20150201,201502,DW-1201030001,散称,生鲜,千克,0.388,1,1.76,否
12313,3590,22,休闲,2206,即食熟制品,220607,豆干类,20150201,201502,DW-2206070241,散称,一般商品,kg,0.42,8.31,39.8,是
12314,3919,12,蔬果,1203,水果,120309,进口水果,20150201,201502,DW-1203090216,散称,生鲜,KG,0.508,13.5,15.9,否
12315,4417,12,蔬果,1201,蔬菜,120102,根茎,20150201,201502,DW-1201020037,散称,生鲜,千克,0.31,2.22,3.96,否
12316,4417,12,蔬果,1203,水果,120309,进口水果,20150201,201502,DW-1203090210,散称,生鲜,KG,1.866,21.98,17.6,否
12317,4477,30,洗化,3013,口腔卫生用品,301303,成人牙刷,20150201,201502,DW-3013030396,1016,一般商品,支,1,15.5,15.7,否
12318,4488,12,蔬果,1203,水果,120303,梨类,20150201,201502,DW-1203030177,散称,生鲜,KG,2.048,8.9,3.18,否
