编码,日期,销量
1001,2015-09-01,6
1001,2015-09-02,16
1001,2015-09-03,9
1001,2015-09-04,7
1001,2015-09-05,8
1001,2015-09-06,9
1001,2015-09-07,8
1001,2015-09-08,7
1001,2015-09-09,17
1001,2015-09-11,7
1001,2015-09-12,8
1001,2015-09-13,9
1001,2015-09-14,8
1001,2015-09-15,7
1001,2015-09-16,17
1001,2015-09-17,8
1001,2015-09-18,7
1001,2015-09-19,8
1001,2015-09-20,9
1001,2015-09-21,8
1001,2015-09-22,7
1001,2015-09-23,17
1001,2015-09-24,8
1001,2015-09-25,7
1001,2015-09-26,8
1001,2015-09-27,9
1001,2015-09-28,8
1001,2015-09-29,7
1001,2015-09-30,18
1001,2015-10-01,8
1001,2015-10-02,7
1001,2015-10-03,7
1001,2015-10-04,9
1001,2015-10-05,8
1001,2015-10-06,7
1001,2015-10-07,18
1001,2015-10-08,8
1001,2015-10-09,7
1001,2015-10-10,7
1001,2015-10-11,9
1001,2015-10-12,8
1001,2015-10-13,7
1001,2015-10-14,18
1001,2015-10-15,8
1001,2015-10-16,7
1001,2015-10-17,7
1001,2015-10-18,9
1001,2015-10-19,8
1001,2015-10-20,7
1001,2015-10-21,18
1001,2015-10-22,8
1001,2015-10-23,7
1001,2015-10-24,7
1001,2015-10-25,9
1001,2015-10-26,8
1001,2015-10-27,7
1001,2015-10-28,18
1001,2015-10-29,8
1002,2015-09-01,0
1002,2015-09-02,1
1002,2015-09-03,0
1002,2015-09-04,1
1002,2015-09-05,0
1002,2015-09-06,0
1002,2015-09-07,0
1002,2015-09-08,0
1002,2015-09-09,1
1002,2015-09-11,0
1002,2015-09-12,0
1002,2015-09-13,1
1002,2015-09-14,0
1002,2015-09-15,0
1002,2015-09-16,1
1002,2015-09-17,0
1002,2015-09-18,0
1002,2015-09-19,0
1002,2015-09-20,0
1002,2015-09-21,0
1002,2015-09-22,0
1002,2015-09-23,1
1002,2015-09-24,0
1002,2015-09-25,0
1002,2015-09-26,0
1002,2015-09-27,0
1002,2015-09-28,0
1002,2015-09-29,0
1002,2015-09-30,1
1002,2015-10-01,0
1002,2015-10-02,0
1002,2015-10-03,0
1002,2015-10-04,0
1002,2015-10-05,0
1002,2015-10-06,0
1002,2015-10-07,1
1002,2015-10-08,0
1002,2015-10-09,0
1002,2015-10-10,0
1002,2015-10-11,0
1002,2015-10-12,0
1002,2015-10-13,0
1002,2015-10-14,1
1002,2015-10-15,0
1002,2015-10-16,0
1002,2015-10-17,0
1002,2015-10-18,0
1002,2015-10-19,0
1002,2015-10-20,0
1002,2015-10-21,1
1002,2015-10-22,0
1002,2015-10-23,0
1002,2015-10-24,0
1002,2015-10-25,0
1002,2015-10-26,0
1002,2015-10-27,0
1002,2015-10-28,1
1002,2015-10-29,0
1004,2015-09-01,1
1004,2015-09-02,6
1004,2015-09-03,2
1004,2015-09-04,2
1004,2015-09-05,1
1004,2015-09-06,1
1004,2015-09-07,1
1004,2015-09-08,1
1004,2015-09-09,7
1004,2015-09-11,2
1004,2015-09-12,2
1004,2015-09-13,1
1004,2015-09-14,1
1004,2015-09-15,1
1004,2015-09-16,7
1004,2015-09-17,2
1004,2015-09-18,2
1004,2015-09-19,2
1004,2015-09-20,1
1004,2015-09-21,2
1004,2015-09-22,1
1004,2015-09-23,7
1004,2015-09-24,2
1004,2015-09-25,2
1004,2015-09-26,2
1004,2015-09-27,1
1004,2015-09-28,2
1004,2015-09-29,1
1004,2015-09-30,7
1004,2015-10-01,2
1004,2015-10-02,2
1004,2015-10-03,2
1004,2015-10-04,1
1004,2015-10-05,2
1004,2015-10-06,1
1004,2015-10-07,7
1004,2015-10-08,2
1004,2015-10-09,2
1004,2015-10-10,2
1004,2015-10-11,1
1004,2015-10-12,2
1004,2015-10-13,1
1004,2015-10-14,7
1004,2015-10-15,2
1004,2015-10-16,2
1004,2015-10-17,2
1004,2015-10-18,1
1004,2015-10-19,2
1004,2015-10-20,1
1004,2015-10-21,7
1004,2015-10-22,2
1004,2015-10-23,2
1004,2015-10-24,2
1004,2015-10-25,1
1004,2015-10-26,2
1004,2015-10-27,1
1004,2015-10-28,7
1004,2015-10-29,2
1101,2015-09-01,0
1101,2015-09-02,2
1101,2015-09-03,0
1101,2015-09-04,1
1101,2015-09-05,1
1101,2015-09-06,1
1101,2015-09-07,0
1101,2015-09-08,1
1101,2015-09-09,2
1101,2015-09-11,1
1101,2015-09-12,1
1101,2015-09-13,1
1101,2015-09-14,0
1101,2015-09-15,1
1101,2015-09-16,2
1101,2015-09-17,0
1101,2015-09-18,1
1101,2015-09-19,1
1101,2015-09-20,1
1101,2015-09-21,0
1101,2015-09-22,1
1101,2015-09-23,2
1101,2015-09-24,0
1101,2015-09-25,1
1101,2015-09-26,1
1101,2015-09-27,1
1101,2015-09-28,0
1101,2015-09-29,1
1101,2015-09-30,2
1101,2015-10-01,0
1101,2015-10-02,1
1101,2015-10-03,1
1101,2015-10-04,1
1101,2015-10-05,0
1101,2015-10-06,1
1101,2015-10-07,2
1101,2015-10-08,0
1101,2015-10-09,1
1101,2015-10-10,1
1101,2015-10-11,1
1101,2015-10-12,0
1101,2015-10-13,1
1101,2015-10-14,2
1101,2015-10-15,0
1101,2015-10-16,1
1101,2015-10-17,1
1101,2015-10-18,1
1101,2015-10-19,0
1101,2015-10-20,1
1101,2015-10-21,2
1101,2015-10-22,0
1101,2015-10-23,1
1101,2015-10-24,1
1101,2015-10-25,1
1101,2015-10-26,0
1101,2015-10-27,1
1101,2015-10-28,2
1101,2015-10-29,0
1102,2015-09-01,1
1102,2015-09-02,8
1102,2015-09-03,3
1102,2015-09-04,1
1102,2015-09-05,2
1102,2015-09-06,1
1102,2015-09-07,1
1102,2015-09-08,1
1102,2015-09-09,8
1102,2015-09-11,1
1102,2015-09-12,2
1102,2015-09-13,1
1102,2015-09-14,1
1102,2015-09-15,2
1102,2015-09-16,9
1102,2015-09-17,3
1102,2015-09-18,1
1102,2015-09-19,2
1102,2015-09-20,1
1102,2015-09-21,1
1102,2015-09-22,2
1102,2015-09-23,9
1102,2015-09-24,3
1102,2015-09-25,1
1102,2015-09-26,2
1102,2015-09-27,1
1102,2015-09-28,1
1102,2015-09-29,2
1102,2015-09-30,9
1102,2015-10-01,3
1102,2015-10-02,1
1102,2015-10-03,2
1102,2015-10-04,1
1102,2015-10-05,1
1102,2015-10-06,2
1102,2015-10-07,9
1102,2015-10-08,3
1102,2015-10-09,1
1102,2015-10-10,2
1102,2015-10-11,1
1102,2015-10-12,1
1102,2015-10-13,2
1102,2015-10-14,9
1102,2015-10-15,3
1102,2015-10-16,1
1102,2015-10-17,2
1102,2015-10-18,1
1102,2015-10-19,1
1102,2015-10-20,2
1102,2015-10-21,9
1102,2015-10-22,3
1102,2015-10-23,1
1102,2015-10-24,2
1102,2015-10-25,1
1102,2015-10-26,1
1102,2015-10-27,2
1102,2015-10-28,10
1102,2015-10-29,3
1201,2015-09-01,81
1201,2015-09-02,110
1201,2015-09-03,85
1201,2015-09-04,73
1201,2015-09-05,84
1201,2015-09-06,77
1201,2015-09-07,83
1201,2015-09-08,84
1201,2015-09-09,115
1201,2015-09-11,76
1201,2015-09-12,85
1201,2015-09-13,79
1201,2015-09-14,85
1201,2015-09-15,85
1201,2015-09-16,118
1201,2015-09-17,86
1201,2015-09-18,77
1201,2015-09-19,86
1201,2015-09-20,81
1201,2015-09-21,86
1201,2015-09-22,86
1201,2015-09-23,119
1201,2015-09-24,87
1201,2015-09-25,77
1201,2015-09-26,86
1201,2015-09-27,81
1201,2015-09-28,87
1201,2015-09-29,87
1201,2015-09-30,121
1201,2015-10-01,87
1201,2015-10-02,78
1201,2015-10-03,86
1201,2015-10-04,82
1201,2015-10-05,88
1201,2015-10-06,87
1201,2015-10-07,122
1201,2015-10-08,88
1201,2015-10-09,78
1201,2015-10-10,86
1201,2015-10-11,82
1201,2015-10-12,88
1201,2015-10-13,88
1201,2015-10-14,122
1201,2015-10-15,88
1201,2015-10-16,78
1201,2015-10-17,86
1201,2015-10-18,82
1201,2015-10-19,89
1201,2015-10-20,88
1201,2015-10-21,123
1201,2015-10-22,88
1201,2015-10-23,78
1201,2015-10-24,86
1201,2015-10-25,82
1201,2015-10-26,89
1201,2015-10-27,88
1201,2015-10-28,123
1201,2015-10-29,88
1202,2015-09-01,6
1202,2015-09-02,9
1202,2015-09-03,6
1202,2015-09-04,5
1202,2015-09-05,7
1202,2015-09-06,5
1202,2015-09-07,5
1202,2015-09-08,7
1202,2015-09-09,9
1202,2015-09-11,6
1202,2015-09-12,7
1202,2015-09-13,5
1202,2015-09-14,6
1202,2015-09-15,7
1202,2015-09-16,9
1202,2015-09-17,6
1202,2015-09-18,6
1202,2015-09-19,6
1202,2015-09-20,5
1202,2015-09-21,6
1202,2015-09-22,7
1202,2015-09-23,9
1202,2015-09-24,6
1202,2015-09-25,6
1202,2015-09-26,6
1202,2015-09-27,6
1202,2015-09-28,6
1202,2015-09-29,7
1202,2015-09-30,9
1202,2015-10-01,6
1202,2015-10-02,6
1202,2015-10-03,6
1202,2015-10-04,6
1202,2015-10-05,6
1202,2015-10-06,7
1202,2015-10-07,9
1202,2015-10-08,6
1202,2015-10-09,6
1202,2015-10-10,6
1202,2015-10-11,6
1202,2015-10-12,6
1202,2015-10-13,7
1202,2015-10-14,9
1202,2015-10-15,6
1202,2015-10-16,6
1202,2015-10-17,6
1202,2015-10-18,6
1202,2015-10-19,6
1202,2015-10-20,7
1202,2015-10-21,9
1202,2015-10-22,6
1202,2015-10-23,6
1202,2015-10-24,6
1202,2015-10-25,6
1202,2015-10-26,6
1202,2015-10-27,7
1202,2015-10-28,9
1202,2015-10-29,6
1203,2015-09-01,29
1203,2015-09-02,56
1203,2015-09-03,29
1203,2015-09-04,32
1203,2015-09-05,31
1203,2015-09-06,28
1203,2015-09-07,32
1203,2015-09-08,30
1203,2015-09-09,58
1203,2015-09-11,32
1203,2015-09-12,32
1203,2015-09-13,28
1203,2015-09-14,31
1203,2015-09-15,30
1203,2015-09-16,59
1203,2015-09-17,28
1203,2015-09-18,31
1203,2015-09-19,32
1203,2015-09-20,28
1203,2015-09-21,31
1203,2015-09-22,30
1203,2015-09-23,59
1203,2015-09-24,28
1203,2015-09-25,31
1203,2015-09-26,32
1203,2015-09-27,28
1203,2015-09-28,31
1203,2015-09-29,30
1203,2015-09-30,60
1203,2015-10-01,28
1203,2015-10-02,31
1203,2015-10-03,32
1203,2015-10-04,29
1203,2015-10-05,31
1203,2015-10-06,30
1203,2015-10-07,60
1203,2015-10-08,28
1203,2015-10-09,31
1203,2015-10-10,32
1203,2015-10-11,29
1203,2015-10-12,31
1203,2015-10-13,30
1203,2015-10-14,60
1203,2015-10-15,28
1203,2015-10-16,31
1203,2015-10-17,32
1203,2015-10-18,29
1203,2015-10-19,31
1203,2015-10-20,30
1203,2015-10-21,60
1203,2015-10-22,28
1203,2015-10-23,31
1203,2015-10-24,32
1203,2015-10-25,29
1203,2015-10-26,30
1203,2015-10-27,30
1203,2015-10-28,61
1203,2015-10-29,28
1205,2015-09-01,1
1205,2015-09-02,1
1205,2015-09-03,1
1205,2015-09-04,1
1205,2015-09-05,0
1205,2015-09-06,1
1205,2015-09-07,1
1205,2015-09-08,1
1205,2015-09-09,1
1205,2015-09-11,1
1205,2015-09-12,1
1205,2015-09-13,1
1205,2015-09-14,1
1205,2015-09-15,1
1205,2015-09-16,1
1205,2015-09-17,1
1205,2015-09-18,1
1205,2015-09-19,1
1205,2015-09-20,1
1205,2015-09-21,1
1205,2015-09-22,1
1205,2015-09-23,1
1205,2015-09-24,1
1205,2015-09-25,1
1205,2015-09-26,1
1205,2015-09-27,1
1205,2015-09-28,1
1205,2015-09-29,1
1205,2015-09-30,1
1205,2015-10-01,1
1205,2015-10-02,1
1205,2015-10-03,1
1205,2015-10-04,1
1205,2015-10-05,1
1205,2015-10-06,1
1205,2015-10-07,1
1205,2015-10-08,1
1205,2015-10-09,1
1205,2015-10-10,1
1205,2015-10-11,1
1205,2015-10-12,1
1205,2015-10-13,1
1205,2015-10-14,1
1205,2015-10-15,1
1205,2015-10-16,1
1205,2015-10-17,1
