编码,日期,销量,周
1001,20150101,3,4
1001,20150102,6,5
1001,20150103,7,6
1001,20150104,5,7
1001,20150105,9,1
1001,20150106,5,2
1001,20150107,28,3
1001,20150108,7,4
1001,20150109,4,5
1001,20150110,4,6
1001,20150111,3,7
1001,20150112,12,1
1001,20150113,5,2
1001,20150114,16,3
1001,20150115,9,4
1001,20150116,9,5
1001,20150117,3,6
1001,20150118,5,7
1001,20150119,4,1
1001,20150120,9,2
1001,20150121,25,3
1001,20150122,6,4
1001,20150123,7,5
1001,20150124,2,6
1001,20150125,5,7
1001,20150126,13,1
1001,20150127,12,2
1001,20150128,35,3
1001,20150129,9,4
1001,20150130,4,5
1001,20150131,6,6
1001,20150201,5,7
1001,20150202,5,1
1001,20150203,9,2
1001,20150204,0,3
1001,20150205,10,4
1001,20150206,4,5
1001,20150207,1,6
1001,20150208,10,7
1001,20150209,8,1
1001,20150210,14,2
1001,20150211,25,3
1001,20150212,6,4
1001,20150213,6,5
1001,20150214,0,6
1001,20150215,15,7
1001,20150216,9,1
1001,20150217,16,2
1001,20150218,9,3
1001,20150219,1,4
1001,20150220,0,5
1001,20150221,2,6
1001,20150222,4,7
1001,20150223,2,1
1001,20150224,1,2
1001,20150225,0,3
1001,20150226,2,4
1001,20150227,3,5
1001,20150228,4,6
1001,20150301,8,7
1001,20150302,9,1
1001,20150303,8,2
1001,20150304,12,3
1001,20150305,9,4
1001,20150306,3,5
1001,20150307,5,6
1001,20150308,5,7
1001,20150309,13,1
1001,20150310,5,2
1001,20150311,10,3
1001,20150312,5,4
1001,20150313,6,5
1001,20150314,10,6
1001,20150315,9,7
1001,20150316,6,1
1001,20150317,11,2
1001,20150318,20,3
1001,20150319,5,4
1001,20150320,3,5
1001,20150321,1,6
1001,20150322,4,7
1001,20150323,2,1
1001,20150324,6,2
1001,20150325,22,3
1001,20150326,7,4
1001,20150327,3,5
1001,20150328,3,6
1001,20150329,5,7
1001,20150330,6,1
1001,20150331,0,2
1001,20150401,17,3
1001,20150402,10,4
1001,20150403,5,5
1001,20150404,9,6
1001,20150405,7,7
1001,20150406,7,1
1001,20150407,10,2
1001,20150408,13,3
1001,20150409,0,4
1001,20150410,8,5
1001,20150411,9,6
1001,20150412,16,7
1001,20150413,6,1
1001,20150414,4,2
1001,20150415,20,3
1001,20150416,0,4
1001,20150417,8,5
1001,20150418,4,6
1001,20150419,6,7
1001,20150420,6,1
1001,20150421,7,2
1001,20150422,20,3
1001,20150423,6,4
1001,20150424,13,5
1001,20150425,4,6
1001,20150426,8,7
1001,20150427,3,1
1001,20150428,10,2
1001,20150429,14,3
1001,20150430,11,4
1001,20150501,5,5
1001,20150502,9,6
1001,20150503,15,7
1001,20150504,8,1
1001,20150505,9,2
1001,20150506,18,3
1001,20150507,4,4
1001,20150508,7,5
1001,20150509,6,6
1001,20150510,2,7
1001,20150511,6,1
1001,20150512,9,2
1001,20150513,25,3
1001,20150514,7,4
1001,20150515,6,5
1001,20150516,2,6
1001,20150517,6,7
1001,20150518,7,1
1001,20150519,6,2
1001,20150520,21,3
1001,20150521,5,4
1001,20150522,2,5
1001,20150523,7,6
1001,20150524,9,7
1001,20150525,12,1
1001,20150526,7,2
1001,20150527,18,3
1001,20150528,5,4
1001,20150529,9,5
1001,20150530,5,6
1001,20150531,8,7
1001,20150601,7,1
1001,20150602,8,2
1001,20150603,24,3
1001,20150604,9,4
1001,20150605,6,5
1001,20150606,10,6
1001,20150607,9,7
