编码,日期,销量
1001.0,20150101.0,3
1001.0,20150102.0,6
1001.0,20150103.0,7
1001.0,20150104.0,5
1001.0,20150105.0,9
1001.0,20150106.0,5
1001.0,20150107.0,28
1001.0,20150108.0,7
1001.0,20150109.0,4
1001.0,20150110.0,4
1001.0,20150111.0,3
1001.0,20150112.0,12
1001.0,20150113.0,5
1001.0,20150114.0,16
1001.0,20150115.0,9
1001.0,20150116.0,9
1001.0,20150117.0,3
1001.0,20150118.0,5
1001.0,20150119.0,4
1001.0,20150120.0,9
1001.0,20150121.0,25
1001.0,20150122.0,6
1001.0,20150123.0,7
1001.0,20150124.0,2
1001.0,20150125.0,5
1001.0,20150126.0,13
1001.0,20150127.0,12
1001.0,20150128.0,35
1001.0,20150129.0,9
1001.0,20150130.0,4
1001.0,20150131.0,6
1001.0,20150201.0,5
1001.0,20150202.0,5
1001.0,20150203.0,9
1001.0,20150204.0,0
1001.0,20150205.0,10
1001.0,20150206.0,4
1001.0,20150207.0,1
1001.0,20150208.0,10
1001.0,20150209.0,8
1001.0,20150210.0,14
1001.0,20150211.0,25
1001.0,20150212.0,6
1001.0,20150213.0,6
1001.0,20150215.0,15
1001.0,20150216.0,9
1001.0,20150217.0,16
1001.0,20150218.0,9
1001.0,20150219.0,1
1001.0,20150220.0,0
1001.0,20150221.0,2
1001.0,20150222.0,4
1001.0,20150223.0,2
1001.0,20150224.0,1
1001.0,20150225.0,0
1001.0,20150226.0,2
1001.0,20150227.0,3
1001.0,20150228.0,4
1001.0,20150301.0,8
1001.0,20150302.0,9
1001.0,20150303.0,8
1001.0,20150304.0,12
1001.0,20150305.0,9
1001.0,20150306.0,3
1001.0,20150307.0,5
1001.0,20150308.0,5
1001.0,20150309.0,13
1001.0,20150310.0,5
1001.0,20150311.0,10
1001.0,20150312.0,5
1001.0,20150313.0,6
1001.0,20150314.0,10
1001.0,20150315.0,9
1001.0,20150316.0,6
1001.0,20150317.0,11
1001.0,20150318.0,20
1001.0,20150319.0,5
1001.0,20150320.0,3
1001.0,20150321.0,1
1001.0,20150322.0,4
1001.0,20150323.0,2
1001.0,20150324.0,6
1001.0,20150325.0,22
1001.0,20150326.0,7
1001.0,20150327.0,3
1001.0,20150328.0,3
1001.0,20150329.0,5
1001.0,20150330.0,6
1001.0,20150401.0,17
1001.0,20150402.0,10
1001.0,20150403.0,5
1001.0,20150404.0,9
1001.0,20150405.0,7
1001.0,20150406.0,7
1001.0,20150407.0,10
1001.0,20150408.0,13
1001.0,20150410.0,8
1001.0,20150411.0,9
1001.0,20150412.0,16
1001.0,20150413.0,6
1001.0,20150414.0,4
1001.0,20150415.0,20
1001.0,20150417.0,8
1001.0,20150418.0,4
1001.0,20150419.0,6
1001.0,20150420.0,6
1001.0,20150421.0,7
1001.0,20150422.0,20
