编码,日期,销量
1501,20150101,1
1501,20150103,2
1501,20150106,2
1501,20150107,4
1501,20150108,1
1501,20150109,2
1501,20150110,1
1501,20150111,1
1501,20150112,2
1501,20150114,4
1501,20150116,1
1501,20150121,1
1501,20150122,1
1501,20150123,1
1501,20150126,1
1501,20150127,1
1501,20150128,2
1501,20150129,4
1501,20150130,2
1501,20150131,1
1501,20150201,1
1501,20150202,1
1501,20150203,1
1501,20150205,1
1501,20150206,1
1501,20150207,2
1501,20150208,3
1501,20150209,1
1501,20150211,2
1501,20150212,1
1501,20150213,3
1501,20150215,1
1501,20150216,2
1501,20150217,2
1501,20150218,3
1501,20150219,1
1501,20150223,2
1501,20150227,1
1501,20150304,1
1501,20150308,2
1501,20150310,2
1501,20150312,2
1501,20150313,1
1501,20150314,1
1501,20150402,1
1501,20150408,1
1501,20150411,1
1501,20150419,1
1501,20150421,1
1501,20150424,1
1501,20150426,2
1501,20150429,1
1502,20150417,2
1503,20150208,1
1503,20150209,1
1503,20150210,1
1503,20150211,1
1503,20150213,1
1503,20150217,1
1503,20150218,1
1503,20150414,1
1505,20150101,3
1505,20150102,2
1505,20150103,3
1505,20150104,1
1505,20150105,4
1505,20150106,4
1505,20150107,4
1505,20150108,5
1505,20150109,4
1505,20150110,2
1505,20150111,3
1505,20150112,6
1505,20150113,8
1505,20150114,7
1505,20150115,5
1505,20150116,2
1505,20150117,3
1505,20150118,4
1505,20150119,4
1505,20150120,4
1505,20150121,9
1505,20150122,2
1505,20150123,15
1505,20150124,5
1505,20150125,7
1505,20150126,7
1505,20150127,3
1505,20150128,8
1505,20150129,5
1505,20150130,6
1505,20150131,5
1505,20150201,3
1505,20150202,8
1505,20150203,4
1505,20150205,2
1505,20150206,3
1505,20150207,7
1505,20150208,4
1505,20150209,7
1505,20150210,4
1505,20150211,5
1505,20150212,5
1505,20150213,4
1505,20150215,5
1505,20150216,7
1505,20150217,5
1505,20150218,9
1505,20150219,2
1505,20150220,1
1505,20150221,1
1505,20150222,2
1505,20150224,3
1505,20150225,8
1505,20150226,4
1505,20150227,5
1505,20150228,2
1505,20150301,1
1505,20150302,4
1505,20150303,2
1505,20150304,5
1505,20150305,1
1505,20150306,3
1505,20150307,2
1505,20150308,3
1505,20150309,5
1505,20150310,4
1505,20150311,4
1505,20150312,6
1505,20150313,3
1505,20150314,8
1505,20150315,5
1505,20150316,2
1505,20150317,5
1505,20150318,1
1505,20150319,4
1505,20150320,2
1505,20150321,7
1505,20150322,3
1505,20150323,5
1505,20150324,1
1505,20150325,7
1505,20150326,5
1505,20150327,5
1505,20150328,8
1505,20150329,6
1505,20150330,4
1505,20150401,5
1505,20150402,2
1505,20150403,9
1505,20150404,7
1505,20150405,3
1505,20150406,4
1505,20150407,7
1505,20150408,8
1505,20150410,11
1505,20150411,4
1505,20150412,5
1505,20150413,6
1505,20150414,9
1505,20150415,13
1505,20150417,7
1505,20150418,7
1505,20150419,7
1505,20150420,6
1505,20150421,7
1505,20150422,12
1505,20150423,6
1505,20150424,3
1505,20150425,4
1505,20150426,6
1505,20150427,5
1505,20150428,8
1505,20150429,15
1505,20150430,9
1508,20150105,1
1508,20150116,2
1508,20150122,1
1508,20150131,1
1508,20150206,1
1508,20150209,1
1508,20150213,1
1508,20150218,1
1508,20150226,1
1508,20150227,1
1508,20150228,2
1508,20150302,1
1508,20150410,1
1508,20150413,1
1508,20150414,1
1508,20150415,4
1508,20150421,1
1509,20150411,1
1510,20150102,1
1510,20150103,1
1510,20150106,1
1510,20150107,1
1510,20150109,1
1510,20150111,1
1510,20150112,1
1510,20150128,2
1510,20150131,1
1510,20150201,1
1510,20150210,1
1510,20150215,1
1510,20150216,1
1510,20150217,2
1510,20150218,2
1510,20150221,1
1510,20150222,1
1510,20150224,1
1510,20150226,1
1510,20150301,2
1510,20150308,1
1510,20150314,1
1510,20150323,1
1510,20150328,1
1510,20150404,1
1512,20150106,2
1512,20150109,1
1512,20150111,2
1512,20150112,2
1512,20150113,1
1512,20150128,1
1512,20150213,1
1512,20150216,2
1512,20150217,1
1512,20150218,6
1512,20150225,3
1512,20150226,1
1512,20150301,2
1512,20150304,5
1512,20150305,2
1512,20150306,1
1512,20150419,1
1513,20150104,1
1513,20150114,1
1513,20150211,1
1513,20150415,6
1513,20150417,3
1515,20150101,2
1515,20150102,2
1515,20150104,1
1515,20150105,1
1515,20150106,2
1515,20150107,3
1515,20150108,1
1515,20150113,2
1515,20150116,2
1515,20150118,2
1515,20150119,1
1515,20150120,1
1515,20150121,1
1515,20150122,1
1515,20150125,2
1515,20150127,1
1515,20150128,1
1515,20150129,2
1515,20150208,1
1515,20150210,1
