中类编码,销售日期,销量
1001,20150101,3
1001,20150102,6
1001,20150103,7
1001,20150104,5
1001,20150105,9
1001,20150106,5
1001,20150107,28
1001,20150108,7
1001,20150109,4
1001,20150110,4
1001,20150111,3
1001,20150112,12
1001,20150113,5
1001,20150114,16
1001,20150115,9
1001,20150116,9
1001,20150117,3
1001,20150118,5
1001,20150119,4
1001,20150120,9
1001,20150121,25
1001,20150122,6
1001,20150123,7
1001,20150124,2
1001,20150125,5
1001,20150126,13
1001,20150127,12
1001,20150128,35
1001,20150129,9
1001,20150130,4
1001,20150131,6
1001,20150201,5
1001,20150202,5
1001,20150203,9
1001,20150205,10
1001,20150206,4
1001,20150207,1
1001,20150208,10
1001,20150209,8
1001,20150210,14
1001,20150211,25
1001,20150212,6
1001,20150213,6
1001,20150215,15
1001,20150216,9
1001,20150217,16
1001,20150218,9
1001,20150219,1
1001,20150221,2
1001,20150222,4
1001,20150223,2
1001,20150224,1
1001,20150226,2
1001,20150227,3
1001,20150228,4
1001,20150301,8
1001,20150302,9
1001,20150303,8
1001,20150304,12
1001,20150305,9
1001,20150306,3
1001,20150307,5
1001,20150308,5
1001,20150309,13
1001,20150310,5
1001,20150311,10
1001,20150312,5
1001,20150313,6
1001,20150314,10
1001,20150315,9
1001,20150316,6
1001,20150317,11
1001,20150318,20
1001,20150319,5
1001,20150320,3
1001,20150321,1
1001,20150322,4
1001,20150323,2
1001,20150324,6
1001,20150325,22
1001,20150326,7
1001,20150327,3
1001,20150328,3
1001,20150329,5
1001,20150330,6
1001,20150401,17
1001,20150402,10
1001,20150403,5
1001,20150404,9
1001,20150405,7
1001,20150406,7
1001,20150407,10
1001,20150408,13
1001,20150410,8
1001,20150411,9
1001,20150412,16
1001,20150413,6
1001,20150414,4
1001,20150415,20
1001,20150417,8
1001,20150418,4
1001,20150419,6
1001,20150420,6
1001,20150421,7
1001,20150422,20
1001,20150423,6
1001,20150424,13
1001,20150425,4
1001,20150426,8
1001,20150427,3
1001,20150428,10
1001,20150429,14
1001,20150430,11
1002,20150105,1
1002,20150107,1
1002,20150108,1
1002,20150123,1
1002,20150125,1
1002,20150131,1
1002,20150201,2
1002,20150206,1
1002,20150210,2
1002,20150211,2
1002,20150213,2
1002,20150215,1
1002,20150216,2
1002,20150222,1
1002,20150311,1
1002,20150325,1
1002,20150330,1
1002,20150401,2
1002,20150405,2
1002,20150412,1
1002,20150421,1
1002,20150422,2
1002,20150424,1
1002,20150425,1
1002,20150426,1
1004,20150101,1
1004,20150102,3
1004,20150103,3
1004,20150104,2
1004,20150105,1
1004,20150106,1
1004,20150107,6
1004,20150108,1
1004,20150109,1
1004,20150111,3
1004,20150112,1
1004,20150114,3
1004,20150115,3
1004,20150116,1
1004,20150117,2
1004,20150119,1
1004,20150120,1
1004,20150121,7
1004,20150122,6
1004,20150125,3
1004,20150127,2
1004,20150128,5
1004,20150129,2
1004,20150130,1
1004,20150131,2
1004,20150202,3
1004,20150203,2
1004,20150204,1
1004,20150205,1
1004,20150208,1
1004,20150210,3
1004,20150211,9
1004,20150212,6
1004,20150213,4
1004,20150215,3
1004,20150216,3
1004,20150217,2
1004,20150218,1
1004,20150222,1
1004,20150223,2
1004,20150227,1
1004,20150302,5
1004,20150303,2
1004,20150304,4
1004,20150305,1
1004,20150306,1
1004,20150307,1
1004,20150308,1
1004,20150309,2
1004,20150310,1
1004,20150311,5
1004,20150312,1
1004,20150313,2
1004,20150314,3
1004,20150315,3
1004,20150316,1
1004,20150318,1
1004,20150321,1
1004,20150322,4
1004,20150324,1
1004,20150326,3
1004,20150327,1
1004,20150328,1
1004,20150329,1
1004,20150330,2
1004,20150401,3
1004,20150402,2
1004,20150404,1
1004,20150406,1
1004,20150407,7
1004,20150408,4
1004,20150410,1
1004,20150412,3
1004,20150414,4
1004,20150415,5
1004,20150417,2
1004,20150418,2
1004,20150419,1
1004,20150420,7
1004,20150421,5
1004,20150422,6
1004,20150423,1
1004,20150424,1
1004,20150425,3
1004,20150426,1
1004,20150427,2
1004,20150429,4
1004,20150430,4
1005,20150105,2
1005,20150106,1
