大类编码,销售日期,销量
10,20150101,4
10,20150102,9
10,20150103,10
10,20150104,7
10,20150105,13
10,20150106,7
10,20150107,39
10,20150108,9
10,20150109,5
10,20150110,5
10,20150111,9
10,20150112,13
10,20150113,6
10,20150114,19
10,20150115,12
10,20150116,11
10,20150117,5
10,20150118,6
10,20150119,6
10,20150120,11
10,20150121,35
10,20150122,14
10,20150123,10
10,20150124,2
10,20150125,9
10,20150126,15
10,20150127,14
10,20150128,44
10,20150129,12
10,20150130,6
10,20150131,9
10,20150201,8
10,20150202,8
10,20150203,11
10,20150204,1
10,20150205,11
10,20150206,5
10,20150207,1
10,20150208,12
10,20150209,8
10,20150210,19
10,20150211,36
10,20150212,12
10,20150213,12
10,20150215,20
10,20150216,14
10,20150217,18
10,20150218,10
10,20150219,1
10,20150221,3
10,20150222,6
10,20150223,4
10,20150224,1
10,20150225,1
10,20150226,2
10,20150227,4
10,20150228,5
10,20150301,9
10,20150302,14
10,20150303,10
10,20150304,17
10,20150305,10
10,20150306,4
10,20150307,6
10,20150308,6
10,20150309,15
10,20150310,6
10,20150311,16
10,20150312,7
10,20150313,9
10,20150314,14
10,20150315,12
10,20150316,7
10,20150317,11
10,20150318,23
10,20150319,5
10,20150320,3
10,20150321,2
10,20150322,8
10,20150323,2
10,20150324,7
10,20150325,24
10,20150326,10
10,20150327,4
10,20150328,4
10,20150329,6
10,20150330,10
10,20150401,23
10,20150402,12
10,20150403,6
10,20150404,10
10,20150405,9
10,20150406,8
10,20150407,20
10,20150408,17
10,20150410,9
10,20150411,9
10,20150412,20
10,20150413,7
10,20150414,9
10,20150415,25
10,20150417,10
10,20150418,6
10,20150419,7
10,20150420,14
10,20150421,13
10,20150422,29
10,20150423,7
10,20150424,15
10,20150425,8
10,20150426,10
10,20150427,5
10,20150428,10
10,20150429,19
10,20150430,15
11,20150101,2
11,20150102,1
11,20150106,1
11,20150107,3
11,20150108,1
11,20150109,1
11,20150110,1
11,20150111,1
11,20150113,1
11,20150114,2
11,20150118,1
11,20150119,1
11,20150120,2
11,20150122,2
11,20150123,1
11,20150124,1
11,20150125,1
11,20150127,2
11,20150128,4
11,20150129,1
11,20150130,1
11,20150201,3
11,20150202,4
11,20150203,6
11,20150205,3
11,20150206,1
11,20150208,1
11,20150209,2
11,20150210,2
11,20150211,6
11,20150212,3
11,20150213,2
11,20150215,1
11,20150217,2
11,20150219,2
11,20150221,1
11,20150222,1
11,20150224,1
11,20150301,2
11,20150302,3
11,20150304,5
11,20150307,1
11,20150309,2
11,20150310,1
11,20150311,3
11,20150314,4
11,20150316,1
11,20150317,2
11,20150318,4
11,20150319,2
11,20150321,3
11,20150322,1
11,20150323,1
11,20150324,6
11,20150325,2
11,20150326,2
11,20150328,2
11,20150330,1
11,20150401,11
11,20150403,4
11,20150404,5
11,20150405,1
11,20150406,2
11,20150407,1
11,20150408,2
11,20150410,2
11,20150411,2
11,20150412,2
11,20150413,4
11,20150414,1
11,20150415,6
11,20150418,2
11,20150419,1
11,20150420,1
11,20150421,1
11,20150422,10
11,20150423,2
11,20150425,3
11,20150428,4
11,20150429,8
